numero di parole,PAROLE_ESSENZIALI,1sost2Verbi3Agg4Avv,PAROLA,LetteraIniziale,ContieneDoppie,CosaE,DeMauro,COLFISfASS,Nsillabe,Sillaba1,Sillaba2,Sillaba3,Sillaba4,Sillaba5,Sillaba6,NonParola1_similexfinale,NonParola2_similexiniziali,FRASE,ChiCosComDovQuaPer,ChiCosComDovQuaPerCorr,ChiCosComDovQuaPerErr1,ChiCosComDovQuaPerErr2,,FrasiOhO,FraseOhO,corretta,errata,,articoloIndizio,fraseArticoli,par_F_sing,par_F_plur,par_M_sing,par_M_plur,,CECISONOCISARANNO,FraseCECISON,Passato,Presente,Futuro,Indizio_parte_del_testo,Indizio,parte_da_eliminareCORRETTA,Errata1,Errata2,ConsonanteVocale,,PAROLA,1Animali,1Vegetali,2PartidelCorpo,2Abbigliamento,2MangiareeBere,2Mobilia,2MezzoT
194,,3,celeste,c,2,agg. s.,3,25,3,ce,le,ste,,,,taleste,celtrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCCV,,celeste,,,,,,,
195,,3,chiaro,c,2,agg,1,410,2,chia,ro,,,,,cuiaro,chielo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCVVCV,,chiaro,,,,,,,
196,,3,comodo,c,2,agg.,1,50,3,co,mo,do,,,,damodo,codamo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCV,,comodo,,,,,,,
197,,3,contagioso,c,2,agg.,2,7,4,con,ta,gio,so,,,mandavioso,contrafago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVCVVCV,,contagioso,,,,,,,
198,,3,contrario,c,2,agg.,1,368,3,con,tra,rio,,,,funtrario,conbafio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCCVCVV,,contrario,,,,,,,
199,,3,coraggioso,c,1,agg.,3,39,4,co,rag,gio,so,,,dotamarioso,cormittisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCCVVCV,,coraggioso,,,,,,,
200,,3,corto,c,2,agg,1,77,2,cor,to,,,,,gurto,corlu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCV,,corto,,,,,,,
201,,3,costoso,c.,2,agg.,3,18,3,co,sto,so,,,,gheroso,costuve,La macchina di Elena è molto costosa,Com'è la macchina di Elena?,Molto costosa,Molto gialla,Molto cortese,,La macchina che ha comprato Elena è molto costosa,La macchina che ... comprato Elena è molto costosa,HA,A,,par_F_sing,La ... di Elena è molto costosa,macchina,,camion,macchinari,,,,,,,,,,,,CVCCVCV,,costoso,,,,,,,
202,,3,creativo,c,2,agg,3,35,4,cre,a,ti,vo,,,fratrivo,cresadei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCVVCVCV,,creativo,,,,,,,
203,,3,curioso,c,2,agg.,1,64,3,cu,rio,so,,,,froioso,curboso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVVCV,,curioso,,,,,,,
204,,3,curvo,c,2,agg.,3,5,2,cur,vo,,,,,dolvo,cudre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCV,,curvo,,,,,,,
205,1,1,caffe,c,1,s.,1,1,2,caf,fe,,,,,voffe,carfe,Il papà ha bevuto una tazzina bollente di caffe a colazione,Quando ha bevuto il caffe il papà?,Colazione,Pranzo,Notte,,Il papà ha bevuto una tazzina bollente di caffe a colazione ,Il papà ... bevuto una tazzina bollente di caffe a colazione ,HA,A,,par_M_sing,Il ... ha bevuto una tazzina bollente di caffe a colazione ,,nonna,papà,zii,,,,,,,,,,,,CVCCV,,caffe,,,,,1,,
206,,1,camomilla,c,1,s.,2,6,4,ca,mo,mil,la,,,mocamilla,camollami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCVCCV,,camomilla,,,,,1,,
207,,1,caramella,c,1,s.,3,7,4,ca,ra,mel,la,,,racamella,carallema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCVCCV,,caramella,,,,,1,,
208,,1,cavolo,c,2,s.,3,15,3,ca,vo,lo,,,,vocilo,cavito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCV,,cavolo,,1,,,1,,
209,,1,cece,c,2,s.,3,0,2,ce,ce,,,,,zece,ceze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCV,,cece,,1,,,1,,
210,,1,cetriolo,c,2,s.,2,4,3,ce,trio,lo,,,,vatriolo,cetrialo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVVCV,,cetriolo,,1,,,1,,
211,,1,cioccolato,c,1,s.,3,45,4,cioc,co,la,to,,,bioccolato,cioccotola,C'era una torta farcita al cioccolato davanti a me ,Dov'era la torta?,Davanti a me,In cucina,In forno,,Io avevo davanti a me una torta farcita al cioccolato,Io avevo davanti ... me una torta farcita al cioccolato,A,HA,,,,,,,,,C'era una torta farcita al cioccolato davanti a me,... una torta farcita al cioccolato davanti a me ,1,0,0,NO,PASSATO,c'era,ci sono,ci saranno,CVVCCVCVCV,,cioccolato,,,,,1,,
212,,1,cocco,c,1,s.,2,12,2,coc,co,,,,,vacco,corcia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCV,,cocco,,1,,,1,,
213,,1,calzino,c,2,s.,2,1,3,cal,zi,no,,,,rolzino,calzeno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVCV,,calzino,,,,1,,,
214,,1,camicia,c,2,s. ,1,102,3,ca,mi,cia,,,,bemicia,canicia,La macchia sulla tua camicia è di sugo o di fragola?,Dov'è la macchia?,Camicia,Pantalone,Camice,,La macchia sulla tua camicia è di sugo o di fragola?,La macchia sulla tua camicia è di sugo ... di fragola?,O,HO,,par_F_sing,La ... sulla tua camicia è di sugo o di fragola?,macchia,tasche,bottone,,,Sulla tua camicia c'era una macchia di sugo o di fragola?,Sulla tua camicia ... una macchia di sugo o di fragola?,1,0,0,NO,PASSATO,c'era,ci sono,c'è,CVCVCVV,,camicia,,,,1,,,
215,,1,canottiera,c,1,s.,2,6,4,ca,not,tie,ra,,,vanottiera,canottieva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCCVVCV,,canottiera,,,,1,,,
216,,1,cappotto,c,1,s.,2,32,3,cap,pot,to,,,,bappotto,cappollo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVCCV,,cappotto,,,,1,,,
217,,1,casco,c,2,s.,2,18,2,ca,sco,,,,,rasco,casvo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCV,,casco,,,,1,,,
218,,1,cilindro,c,2,s.,2,22,3,ci,lin,dro,,,,cilandro,cilinbro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCCCV,,cilindro,,,,1,,,
219,,1,collana,c,1,s.,3,30,3,col,la,na,,,,daflana,colrefo,La collana rosa di perle è nell'armadio,Dove è la collana rosa di perle? ,Nell'armadio,In salotto,Nella scatola,,Letizia ha una nuova collana ,Letiza ... una nuova collana,HA,A,,par_F_sing,La ... rosa di perle è nell'armadio,collana,magliette,,calzini,,Nella gioielleria ci sono molte collane ,Nella gioielleria ... molte collane,0,1,0,NO,PRESENTE,ci sono,c'era,ci sarà,CVCCVCV,,collana,,,,1,,,
220,,1,costume,c,2,s.,1,91,3,co,stu,me,,,,vostume,costune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVCV,,costume,,,,1,,,
221,,1,calderone,c,2,s.,4,11,4,cal,de,ro,ne,,,balderone,caldevrone,La strega nel calderone ha cucinato erbe magiche,Cosa ha cucinato la strega nel calderone?,Erbe magiche,Erbe saporite,Erbette,,Il calderone può essere di ferro o di rame,Il calderone può essere di ferro ... di rame,O,HO,,par_M_sing,Il ... è lo strumento utilizzato dalle streghe per preparare cibi magici,erba,pentole,calderone,,,In una casa abbandonata c'era un enorme calderone,In una casa abbandonata ... un enorme calderone,1,0,0,NO,PASSATO,c'era,ci saranno ,ci sono,CVCCVCVCV,,calderone,,,,,,,
222,,1,camoscio,c,2,s.,4,4,3,ca,mo,scio,,,,vamoscio,camoschio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCCVV,,camoscio,1,,,,,,
223,,1,castagne,c,2,s.,4,3,3,ca,sta,gne,,,,bastagne,castaghie,A ottobre noi raccoglieremo le castagne già cadute dall'albero,Quando raccoglieremo le castagne?,Ottobre,Settembre,Agosto,,A ottobre noi raccoglieremo le castagne già cadute dall'albero,... ottobre noi raccoglieremo le castagne già cadute dall'albero,A,HA,,par_F_plur,A ottobre noi raccoglieremo le ... già cadute dall'albero,pigna,castagne,guscio,,,A ottobre ci saranno le castagne già cadute dall'albero,A ottobre ... le castagne già cadute dall'albero,0,0,1,NO,FUTURO,ci saranno,c'è,ci sono,CVCCVCCV,,castagne,,1,,,1,,
224,1,1,chela,c,2,s.,4,3,1,che,la,,,,,chila,chero,Il granchio ha le chele taglienti,Cosa ha il granchio?,Chele,Vele,Mele,,Il granchio ha le chele taglienti,Il granchio ... le chele taglienti,HA,A,,par_F_plur,Il granchio ha le ... taglienti,testa,chele,guscio,,,Nel mare ieri c'erano granchi con le chele,Nel mare ieri ... granchi con le chele,1,0,0,SI,PASSATO,c'erano,c'è,ci sarà,CCVCV,,chela,,,,,,,
225,1,1,dadi,d,2,s.,2,17,2,da,di,,,,,zadi,dari,Ieri i ragazzi hanno giocato a dadi,Quando hanno giocato a dadi i ragazzi?,Ieri,Domani,Dopo,,Ieri i ragazzi hanno giocato a dadi,Ieri i ragazzi hanno giocato ... dadi,A,HA,,par_M_plur,Ieri i ragazzi hanno giocato con i ...,palla,carte,,dadi,,,,,,,,,,,,CVCV,,dadi,,,,,,,
226,1,1,delfini,d,2,s.,2,8,3,del,fi,ni,,,,ledfini,delrini,Il delfino giocherellone gioca con la palla,Il delfino giocherellone gioca con ...,La palla,La tartaruga,La sirenetta,,I delfini hanno un'intelligenza straordinaria,I delfini ... un'intelligenza straordinaria,HANNO,ANNO,,par_M_sing,Il ... giocherellone gioca con la palla,balena,,delfino,coccodrilli,,Più tardi ci sarà lo spettacolo dei delfini,Più tardi ... lo spettacolo dei delfini,0,0,1,SI,FUTURO,ci sarà,c'era,c'è,CVCCVCV,,delfini,1,,,,,,
227,1,1,dente,d,2,s.,1,28,2,den,te,,,,,vente,denre,Il dentista ha curato il dente malato,Cosa ha curato il dentista?,Dente,Gengiva,Carie,,Il dentista ha curato il dente malato,Il dentista ... curato il dente malato,HA,A,,par_M_sing,Il ... ha curato il dente malato,dottoressa,,dentista,infermieri,,,,,,,,,,,,CVCCV,,dente,,,1,,,,
228,1,1,dentiera,d,2,s.,2,3,3,den,tie,ra,,,,crentiera,denzita,I nonni hanno entrambi la dentiera,Chi ha la dentiera?,I nonni,Gli zii,I genitori,,I nonni hanno entrambi la dentiera,I nonni ... entrambi la dentiera,HANNO,ANNO,,par_F_sing,I nonni hanno entrambi la ...,dentiera,dentiere,cuscino,,,C'è una dentiera nel bicchiere sul comodino,... una dentiera nel bicchiere sul comodino,0,1,0,NO,PRESENTE,c'è,ci sono,c'era,CVCCVVCV,,dentiera,,,,,,,
229,,1,dentifricio,d,2,s.,2,6,4,den,ti,fri,cio,,,grancifricio,dentibredo,I dentifrici hanno diverse consistenze e differenti gusti,I dentifrici hanno diverse consistenze e diversi...,Gusti,Colori,Fusti,,I dentifrici hanno diverse consistenze e differenti gusti,I dentifrici ... diverse consistenze e differenti gusti,HANNO,ANNO,,par_M_plur,I ... hanno diverse consistenze e differenti gusti,,caramelle,dentifricio,dentifrici,,Non c'è più dentifricio.,Non ... più dentifricio.,0,1,0,NO,PRESENTE,c'è,ci sarà,c'era,CVCCVCCVCVV,,dentifricio,,,,,,,
230,1,1,deserto,d,2,s.,3,123,3,de,ser,to,,,,beserto,desarto,I viaggiatori hanno avvistato un'oasi nel deserto,Dove è stata avvistata l'oasi?,Deserto,Dune,Sabbia,,I viaggiatori hanno avvistato un'oasi nel deserto,I viaggiatori ... avvistato un'oasi nel deserto,HANNO,ANNO,,par_M_plur,I ... hanno avvistato un'oasi nel deserto,,schede,viaggio,viaggiatori,,C'era un'oasi nel deserto,... un'oasi nel deserto,1,0,0,NO,PASSATO,c'era,ci sarà,ci sono,CVCVCCV,,deserto,,,,,,,
231,1,1,detenuti,d,2,s.,2,88,4,de,te,nu,ti,,,vetenuti,detemuti,I detenuti erano vestiti a striscie bianche e nere,Chi è a striscie bianche e nere?,Detenuti,Zebre,Calciatori,,,,,,,,,,,,,,,,,,,,,,,,CVCVCVCV,,detenuti,,,,,,,
232,1,1,diamante,d,2,s.,1,14,3,dia,man,te,,,,cralante,diamegne,Il principe ha regalato un diamante alla sua amata,Cosa ha regalato il principe alla sua amata?,Diamante,Perla,Pietra,,Il principe ha regalato un diamante alla sua amata,Il principe ... regalato un diamante alla sua amata,HA,A,,par_M_sing,Il ... ha regalato un diamante alla sua amata,regina,,principe,castelli,,,,,,,,,,,,CVVCVCCV,,diamante,,,,,,,
233,1,1,diario,d,2,s.,3,81,2,dia,rio,,,,,viario,diaroi,Sul diario ci sono anche le figurine dei Pokemon,Dove sono le figurine?,Sul diario,Sul banco,Nel quaderno,,Comprerò il diario dei Pokemon o della Pimpa,Comprerò il diario dei Pokemon ... della Pimpa,O,HO,,par_M_sing,Quest'anno ho comprato il ... dei Pokemon,cartella,penne,diario,,,Sul diario ci saranno anche le figurine dei Pokemon,Sul diario ... anche le figurine dei Pokemon,0,0,1,NO,FUTURO,ci saranno,ci sono,c'è,CVVCVV,,diario,,,,,,,
234,1,1,diavolo,d,2,s.,1,148,3,dia,vo,lo,,,,viavolo,diavoto,Il diavolo è cattivo,Chi è cattivo?,il diavolo,il cavolo,il contadino,,"Il diavolo ha le corna, il forcone e la coda","Il diavolo ... le corna, il forcone e la coda",HA,A,,par_M_sing,"Il ... ha le corna, il forcone e la coda",mantide,,diavolo,diavoli,,Ad Halloween c'erano molti bambini vestiti da diavolo,Ad Halloween ... molti bambini vestiti da diavolo,1,0,0,NO,PASSATO,c'erano,c'era,ci saranno,CVVCVCV,,diavolo,,,,,,,
235,1,1,dinosauro,d,2,s,2,6,4,di,no,sau,ro,,,ciposauro,dinogruvi,Michele ha due dinosauri giocattolo a casa,Cosa ha Michele a casa?,Due dinosauri giocattolo,Un rinoceronte giocattolo,Un cane ,,Michele ha due dinosauri giocattolo a casa,Michele ha due dinosauri giocattolo ... casa,A,HA,,par_M_sing,Il ... giocattolo di Michele è realistico,capra,,dinosauro,dinosauri,,Tra i giocattoli di Michele ci saranno due dinosauri,Tra i giocattoli di Michele ...  due dinosauri,0,0,1,NO,FUTURO,ci saranno,ci sarà,ci sono,CVCVCVVCV,,dinosauro,1,,,,,,
236,1,1,disco,d,2,s.,1,150,2,di,sco,,,,,fesco,disca,Il disco che tu mi hai regalato è già rotto,Cosa è rotto?,Disco,Radio,Musica,,Il disco che tu mi hai regalato è già rotto,Il disco che tu mi ... regalato è già rotto,HAI,AI,,par_M_sing,Il ... che tu mi hai regalato è già rotto,discoteca,,disco,musicisti,,,,,,,,,,,,CVCCV,,disco,,,,,,,
237,1,1,dito,d,2,s.,1,89,2,di,to,,,,,bito,dilo,Il papà ha il dito alluce rotto,Cos'ha rotto il papà?,Dito,Dado,Piede,,Il papà ha il dito alluce rotto,Il papà ... il dito alluce rotto,HA,A,,par_M_sing,Il papà ha il ... alluce rotto,caviglia,,dito,pollici,,Tra le mie dita c'è poco spazio,Tra le mie dita ... poco spazio,0,1,0,NO,PRESENTE,c'è,ci sono,c'era,CVCV,,dito,,,1,,,,
238,1,1,divano,d,2,s.,1,64,3,di,va,no,,,,travano,digherto,Nella vecchia casa il divano era scomodo,Com'era il divano nella vecchia casa?,Scomodo,Sconosciuto,Comodo,,In casa i nonni hanno un divano scomodo,In casa i nonni ... un divano scomodo,HANNO,ANNO,,par_M_sing,Nella vecchia casa il ... era scomodo,,sedie,divano,divani,,Nella vecchia casa c'era un divano scomodo,Nella vecchia casa ... un divano scomodo,1,0,0,NO,PASSATO,c'era,ci sono,ci sarà,CVCVCV,,divano,,,,,,1,
239,1,1,doccia,d,1,s.,3,49,2,doc,cia,,,,,gaccia,doscio,Dopo cena Elia andrà a farsi una doccia,Quando andrà a farsi una doccia Elia?,Dopo cena,Dopo pranzo,Prima di cena,,Dopo cena Elia andrà a farsi una doccia,Dopo cena Elia andrà ... farsi una doccia,A,HA,,,,,,,,,,,,,,,,,,,CVCCVV,,doccia,,,,,,1,
240,1,1,dottore,d,1,s.,1,92,3,dot,to,re,,,,zuttore,dovvugo,Il dottore ha molti pazienti ,Chi ha molti pazienti?,Il dottore,Il pastore,Il dentista,,Il dottore ha molti pazienti ,Il dottore ... molti pazienti ,HA,A,,par_M_sing,Il ... che mi ha visitato ieri è stato gentile,infermiera,,dottore,dottori,,L'ultima volta che abbiamo fatto la visita c'era un medico davvero gentile,L'ultima volta che abbiamo fatto la visita ... un medico davvero gentile,1,0,0,SI,PASSATO,c'era,c'è,ci sarà,CVCCVCV,,dottore,,,,,,,
241,1,1,drago,d,2,s.,3,24,2,dra,go,,,,,vrago,drego,Il drago ha sputato fuoco sulla torre del castello,Dove ha sputato fuoco il drago?,Torre,Entrata,Torrente,,Il drago ha sputato fuoco sulla torre del castello,Il drago ... sputato fuoco sulla torre del castello,HA,A,,par_M_sing,Il ... ha sputato fuoco sulla torre del castello,maga,,drago,dinosauri,,,,,,,,,,,,CCVCV,,drago,1,,,,,,
242,1,1,due,d,2,s.,1,6447,1,due,,,,,,zue,dri,Ci sono due o tre ciambelle per noi,Per chi sono le ciambelle?,Noi,Voi,Poi,,Ci sono due o tre ciambelle per noi,Ci sono due ... tre ciambelle per noi,O,HO,,,,,,,,,Ci sono due o tre ciambelle per noi,... due o tre ciambelle per noi,0,1,0,NO,PRESENTE,ci sono,ci saranno,c'è,CVV,,due,,,,,,,
243,,4,davanti,d,2,avv. agg.,1,1062,3,da,van,ti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCCV,,davanti,,,,,,,
244,,4,davvero,d,1,avv.,1,769,3,dav,ve,ro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVCV,,davvero,,,,,,,
245,,4,dietro,d,2,"avv. agg,",1,746,2,die,tro,,,,,scutro,diepri,Il papà si nasconde dietro il divano,Dove si nasconde il papà?,Dietro il divano,Sopra il divano,Dietro il frigorifero,,Io ho un supermercato proprio dietro casa,Io ... un supermercato proprio dietro casa,HO,O,,,,,,,,,"Quando la mamma era bambina, c'era un supermercato dietro casa nostra","Quando la mamma era bambina, ... un supermercato dietro casa nostra",1,0,0,SI,PASSATO,c'era,c'erano,c'è,CVVCCV,,dietro,,,,,,,
246,,4,domani,d,2,avv,1,427,3,do,ma,ni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCV,,domani,,,,,,,
247,,4,dopo,d,2,avv. agg.,1,5156,2,do,po,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCV,,dopo,,,,,,,
248,,4,dove,d,2,avv.,1,3067,2,do,ve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCV,,dove,,,,,,,
249,,2,dare,d,2,v.,1,850,2,da,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCV,,dare,,,,,,,
250,,2,decidere,d,2,v.,1,180,4,de,ci,de,re,,,falidere,deciname,Ci sarà da decidere il nome della squadra,Cosa ci sarà da decidere?,Nome della squadra,Nome del cane,Numero di giocatori,,,,,,,,,,,,,,Ci sarà da decidere il nome della squadra,... da decidere il nome della squadra,0,0,1,NO,FUTURO,ci sarà,c'era,ci sono,CVCVCVCV,,decidere,,,,,,,
251,,2,desiderare,d,2,v.,1,28,5,de,si,de,ra,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCVCVCV,,desiderare,,,,,,,
252,,2,difendere,d,2,v.,1,134,4,di,fen,de,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCCVCV,,difendere,,,,,,,
253,,2,dimenticare,d,2,v.,1,158,5,di,men,ti,ca,re,,travventicare,dicarentime,Marco e Giada hanno dimenticato il libro a casa,Cosa hanno dimenticato a casa Marco e Giada?,Libro,Astuccio,Letto,,Marco e Giada hanno dimenticato il libro a casa,Marco e Giada ... dimenticato il libro a casa,HANNO,ANNO,,par_M_sing,Marco e Giada hanno dimenticato il ... a casa,penna,matite,libro,,,,,,,,,,,,,CVCVCCVCVCV,,dimenticare,,,,,,,
254,,2,dire,d,2,v.,1,1726,2,di,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCV,,dire,,,,,,,
255,,2,disegnare,d,2,v.,1,30,4,di,se,gna,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCCVCV,,disegnare,,,,,,,
256,,2,diventare,d,2,v.,1,435,4,di,ven,ta,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCCVCV,,diventare,,,,,,,
257,,2,divertire,d,2,v.,1,13,4,di,ver,ti,re,,,garertire,divermagi,Alla festa ci saranno giochi per far divertire tutti,Dove ci saranno giochi per far divertire tutti?,Festa,Parcogiochi,Ballo,,,,,,,,,,,,,,Alla festa ci saranno giochi per far divertire tutti,Alla festa ... giochi per far divertire tutti,0,0,1,NO,FUTURO,ci saranno,c'è,c'era,CVCVCCVCV,,divertire,,,,,,,
258,,2,domandare,d,2,v.,1,10,4,do,man,da,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCCVCV,,domandare,,,,,,,
259,,2,dormire,d,2,v.,1,160,3,dor,mi,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVCV,,dormire,,,,,,,
260,,2,dovere,d,2,v.,1,151,3,do,ve,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCV,,dovere,,,,,,,
261,,2,durare,d,2,v.,1,50,3,du,ra,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCV,,durare,,,,,,,
262,,3,dannoso,d,1,agg,2,19,3,dan,no,so,,,,patriso,daspaso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVCV,,dannoso,,,,,,,
263,,3,debole,d,2,agg,1,114,3,de,bo,le,,,,ghedole,desoce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCV,,debole,,,,,,,
264,,3,decorato,d,2,agg,2,26,4,de,co,ra,to,,,racodeto,detocaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCVCV,,decorato,,,,,,,
265,,3,definitivo,d,2,agg,1,62,5,de,fi,ni,ti,vo,,tinofidevo,devitino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCVCVCV,,definitivo,,,,,,,
266,,3,denso,d,2,agg.,3,20,2,den,so,,,,,gheso,dibro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCV,,denso,,,,,,,
267,,3,differente,d,1,agg.,1,31,4,dif,fe,ren,te,,,reffidente,dinteffere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVCVCCV,,differente,,,,,,,
268,,3,difficile,d,1,agg.,1,791,4,dif,fi,ci,le,,,ciffidile,dicileffe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVCVCV,,difficile,,,,,,,
269,,3,disattento,d,1,aag,2,2,4,di,sat,ten,to,,,dasettinto,ditonsatto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCCVCCV,,disattento,,,,,,,
270,,3,dispettoso,d,1,agg,2,6,4,di,spet,to,so,,,todispotoso,distotesso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVCCVCV,,dispettoso,,,,,,,
271,,3,diverso,d,2,agg,1,359,3,di,ver,so,,,,verdiso,dirovre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCCV,,diverso,,,,,,,
272,,3,divertente,d,2,agg,1,79,4,di,ver,ten,te,,,tredovente,didovenpe ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCCVCCV,,divertente,,,,,,,
273,,3,docile,d,2,agg,2,7,3,do,ci,le,,,,codile,dolica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCV,,docile,,,,,,,
274,,3,doloroso,d,2,agg,3,27,4,do,lo,ro,so,,,rolosaso,dosorolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCVCV,,doloroso,,,,,,,
275,,3,doppio,d,1,agg,1,194,2,dop,pio,,,,,prodrio,dovvio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVV,,doppio,,,,,,,
276,,3,dormiglione,d,2,agg,2,1,4,dor,mi,glio,ne,,,preniglione,dormifragno,Il ghiro è un animale dormiglione,Qual è un animale dormiglione?,Ghiro,Formica,Ghianda,,,,,,,par_M_sing,Il ... è un animale dormiglione,talpa,farfalle,ghiro,,,,,,,,,,,,,CVCCVCCVVCV,,dormiglione,,,,,,,
277,1,1,dalmata,d,2,s.,4,6,3,dal,ma,ta,,,,delmeta,dalmota,I dalmata hanno le macchie scure,Come sono le macchie dei dalmata?,Scure,Marroni,Sporche,,I dalmata hanno le macchie scure,I dalmata ... le macchie scure,HANNO,ANNO,,par_M_plur,I cani ... hanno le macchie scure,nutria,giraffe,,dalmata,,,,,,,,,,,,CVCCVCV,,dalmata,1,,,,,,
278,,1,dobermann,d,1,s.,4,4,3,do,ber,mann,,,,bodermann,dobertann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCCVCC,,dobermann,1,,,,,,
279,,1,domatore,d,2,s.,4,1,4,do,ma,to,re,,,tomatore,domareto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCVCV,,domatore,,,,,,,
280,,1,dromedario,d,2,s.,4,2,4,dro,me,da,rio,,,vrometario,dromerioda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCVCVCVCVV,,dromedario,1,,,,,,
281,,1,egiziano,e,2,s.,2,18,4,e,gi,zia,no,,,agiziano,egiziona,Io ho un nuovo compagno egiziano in classe,Com'è il nuovo compagno?,Egiziano,Indiano,Toscano,,In classe io ho un nuovo compagno egiziano,In classe io ... un nuovo compagno egiziano,HO,O,,par_M_sing,Il nuovo ... di classe è egiziano,maestra,,compagno,amici,,Ci sarà un nuovo compagno egiziano in classe ,... un nuovo compagno egiziano in classe ,0,0,1,NO,FUTURO,ci sarà,c'è,ci sono,VCVCVVCV,,egiziano,,,,,,,
282,1,1,elicottero,e,1,s.,2,71,5,e,li,cot,te,ro,,scerilottero,elicessubo,Gli elicotteri piacciono molto a Giacomo,Cosa piace a Giacomo?,Gli elicotteri,Gli aerei,I trattori,,L'elicottero ha le eliche ,L'elicottero ... le eliche ,HA,A,,par_M_plur,Gli ... piacciono molto a Giacomo,,navi,elicottero,elicotteri,,In caso di incendio ci saranno molti elicotteri dei pompieri,In caso di incendio ... molti elicotteri dei pompieri,0,0,1,NO,FUTURO,ci saranno,ci sono,ci sarà,VCVCVCCVCV,,elicottero,,,,,,,1
283,1,1,elmo,e,2,s.,2,6,2,el,mo,,,,,irmo,elta,Il soldato romano ha un elmo antico sulla testa,Dove si trova l'elmo del soldato?,Testa,Fronte,A terra,,Il soldato romano ha un elmo antico sulla testa,Il soldato romano ... un elmo antico sulla testa,HA,A,,par_M_sing,Il ... romano indossava un elmo antico sulla testa,dea,,soldato,eserciti,,C'è un elmo antico sulla testa del soldato romano ,... un elmo antico sulla testa del soldato romano,0,1,0,NO,PRESENTE,c'è,c'era,ci saranno,VCCV,,elmo,,,,1,,,
